"","name","algorithm","gamma","retention","confusion","reversal","retention_sd","confusion_sd","reversal_sd"
"43","protein","lingam",10,0.7625,0.1,0.2375,0.106530203278349,0.132038670571601,0.106530203278349
"44","protein","lingam",100,0.61875,0.075,0.38125,0.248267019875566,0.110322493769761,0.248267019875566
"45","protein","lingam",1000,0.6875,0.05,0.3125,0.21267407730585,0.110322493769761,0.21267407730585
"46","protein","lingam",10000,0.75,0.0625,0.25,0.151744244666721,0.103396273983564,0.151744244666721
"47","protein","lingam",1e+05,0.70625,0.075,0.29375,0.207883285827206,0.12434036478871,0.207883285827206
"48","protein","lingam",1e+06,0.73125,0.0375,0.26875,0.195655948031232,0.0915868871331308,0.195655948031232
"49","drug","pc",0.1,NA,NA,NA,NA,NA,NA
"50","drug","pc",1,NA,NA,NA,NA,NA,NA
"51","drug","pc",10,NA,NA,NA,NA,NA,NA
"52","drug","pc",100,NA,NA,NA,NA,NA,NA
"53","drug","pc",1000,NA,NA,NA,NA,NA,NA
"54","drug","pc",10000,NA,NA,NA,NA,NA,NA
"55","drug","pc",1e+05,NA,NA,NA,NA,NA,NA
"56","drug","pc",1e+06,NA,NA,NA,NA,NA,NA
"57","drug","ges",0.1,0.95,-0.05,0,0.223606797749979,0.223606797749979,0
"58","drug","ges",1,0.35,-0.275,0.1375,0.338339598939477,0.323427369215864,0.189788663629062
"59","drug","ges",10,0.5375,-0.175,0.1625,0.272355707814151,0.244680242464796,0.186289955092649
"60","drug","ges",100,0.3875,-0.2625,0.3,0.236128310347083,0.221760302080754,0.251312344975017
"61","drug","ges",1000,0.475,-0.2875,0.225,0.213060406556698,0.186289955092649,0.197017231413103
"62","drug","ges",10000,0.3875,-0.375,0.2125,0.236128310347083,0.22213082915966,0.167705098312484
"63","drug","ges",1e+05,0.5875,-0.15,0.225,0.247021733542021,0.205195670417031,0.179546211614902
"64","drug","ges",1e+06,0.4875,-0.25,0.175,0.319075556140416,0.421463615211762,0.200328677296508
"65","drug","lingam",0.1,1,0,0,0,0,0
"66","drug","lingam",1,1,0,0,0,0,0
"67","drug","lingam",10,0.65,0,0.35,0.489360484929593,0,0.489360484929593
"68","drug","lingam",100,0.4,0,0.6,0.502624689950035,0,0.502624689950035
"69","drug","lingam",1000,0.5,0,0.5,0.512989176042577,0,0.512989176042577
"70","drug","lingam",10000,0.75,0,0.25,0.444261658319319,0,0.444261658319319
"71","drug","lingam",1e+05,0.6,0,0.4,0.502624689950035,0,0.502624689950035
"72","drug","lingam",1e+06,0.65,0,0.35,0.489360484929593,0,0.489360484929593
